500	100	50	25	10	5						
1											
min											
uM											
IscSIscU											
0	0.661580302	0	0.436642999	0	0.704583021	0	0.24147681	0	0.231553106	0	0.19847409
1	2.404844396	1	2.378381184	1	2.103825359	1	1.538174201	1	1.157765528	1	0.873285998
2.5	5.765672328	2.5	4.647601619	2.5	4.763378172	2.5	3.44352547	2.5	3.383983243	2.5	1.66718236
